"#","Date.Time.GMT.-0400","Temp.°F","Intensity..lum/ft²"
1,2019-06-30 01:00:00,51.6090660095215,0
2,2019-06-30 01:15:00,51.6862869262695,0.0195099990814924
3,2019-06-30 01:30:00,52.2268333435059,0
4,2019-06-30 01:45:00,52.2268333435059,0
5,2019-06-30 02:00:00,52.1496124267578,0
6,2019-06-30 02:15:00,52.1496124267578,0
7,2019-06-30 02:30:00,52.0723915100098,0
8,2019-06-30 02:45:00,52.1496124267578,0
9,2019-06-30 03:00:00,52.1496124267578,0
10,2019-06-30 03:15:00,52.0723915100098,0
11,2019-06-30 03:30:00,52.1496124267578,0
12,2019-06-30 03:45:00,51.9951705932617,0
13,2019-06-30 04:00:00,51.9951705932617,0
14,2019-06-30 04:15:00,52.0723915100098,0
15,2019-06-30 04:30:00,51.9951705932617,0
16,2019-06-30 04:45:00,52.0723915100098,0.156075999140739
17,2019-06-30 05:00:00,51.9951705932617,0.994987010955811
18,2019-06-30 05:15:00,51.7635078430176,2.62356996536255
19,2019-06-30 05:30:00,51.8407287597656,6.46787977218628
20,2019-06-30 05:45:00,51.8407287597656,9.40917682647705
21,2019-06-30 06:00:00,51.7635078430176,5.60388612747192
22,2019-06-30 06:15:00,51.7635078430176,8.94094753265381
23,2019-06-30 06:30:00,51.7635078430176,18.037971496582
24,2019-06-30 06:45:00,51.7635078430176,25.8715190887451
25,2019-06-30 07:00:00,51.7635078430176,48.1458511352539
26,2019-06-30 07:15:00,51.8407287597656,60.2157554626465
27,2019-06-30 07:30:00,51.6862869262695,57.5550270080566
28,2019-06-30 07:45:00,51.6862869262695,51.3565635681152
29,2019-06-30 08:00:00,51.6862869262695,71.6464920043945
30,2019-06-30 08:15:00,51.6862869262695,136.455352783203
31,2019-06-30 08:30:00,51.8407287597656,125.39623260498
32,2019-06-30 08:45:00,51.7635078430176,95.8160400390625
33,2019-06-30 09:00:00,51.7635078430176,68.1384887695312
34,2019-06-30 09:15:00,51.6862869262695,120.907173156738
35,2019-06-30 09:30:00,51.6862869262695,137.822875976562
36,2019-06-30 09:45:00,51.6862869262695,116.447853088379
37,2019-06-30 10:00:00,51.6090660095215,111.51286315918
38,2019-06-30 10:15:00,51.6862869262695,160.595169067383
39,2019-06-30 10:30:00,51.6090660095215,274.575531005859
40,2019-06-30 10:45:00,51.7635078430176,263.040740966797
41,2019-06-30 11:00:00,51.6090660095215,137.46614074707
42,2019-06-30 11:15:00,51.6862869262695,465.791412353516
43,2019-06-30 11:30:00,51.5318450927734,145.552383422852
44,2019-06-30 11:45:00,51.4546241760254,49.3201370239258
45,2019-06-30 12:00:00,52.0723915100098,55.9199409484863
46,2019-06-30 12:15:00,52.0723915100098,90.9107818603516
47,2019-06-30 12:30:00,52.1496124267578,218.388031005859
48,2019-06-30 12:45:00,51.9179496765137,207.447814941406
49,2019-06-30 13:00:00,51.9179496765137,311.914947509766
50,2019-06-30 13:15:00,51.9179496765137,307.277252197266
51,2019-06-30 13:30:00,51.7635078430176,61.8359794616699
52,2019-06-30 13:45:00,51.7635078430176,60.765739440918
53,2019-06-30 14:00:00,51.7635078430176,40.1487922668457
54,2019-06-30 14:15:00,51.6862869262695,33.7125015258789
55,2019-06-30 14:30:00,51.8407287597656,53.2294807434082
56,2019-06-30 14:45:00,51.8407287597656,128.250198364258
57,2019-06-30 15:00:00,51.9179496765137,138.952575683594
58,2019-06-30 15:15:00,51.9951705932617,95.5782089233398
59,2019-06-30 15:30:00,52.0723915100098,120.282867431641
60,2019-06-30 15:45:00,52.1496124267578,134.255416870117
61,2019-06-30 16:00:00,51.9951705932617,117.161338806152
62,2019-06-30 16:15:00,52.1496124267578,81.9326705932617
63,2019-06-30 16:30:00,52.2268333435059,120.817985534668
64,2019-06-30 16:45:00,52.2268333435059,100.89966583252
65,2019-06-30 17:00:00,51.9951705932617,132.05549621582
66,2019-06-30 17:15:00,52.1496124267578,72.4789047241211
67,2019-06-30 17:30:00,52.0723915100098,50.9552230834961
68,2019-06-30 17:45:00,51.9951705932617,42.6757431030273
69,2019-06-30 18:00:00,51.8407287597656,19.368335723877
70,2019-06-30 18:15:00,51.9179496765137,15.0539388656616
71,2019-06-30 18:30:00,51.8407287597656,26.1242141723633
72,2019-06-30 18:45:00,51.6090660095215,25.6336879730225
73,2019-06-30 19:00:00,51.7635078430176,36.6259269714355
74,2019-06-30 19:15:00,51.9951705932617,25.7154426574707
75,2019-06-30 19:30:00,52.0723915100098,14.2735576629639
76,2019-06-30 19:45:00,51.6862869262695,16.0015449523926
77,2019-06-30 20:00:00,51.6090660095215,6.15572690963745
78,2019-06-30 20:15:00,51.7635078430176,2.506511926651
79,2019-06-30 20:30:00,51.9951705932617,0.565777003765106
80,2019-06-30 20:45:00,51.7635078430176,0.0975480005145073
81,2019-06-30 21:00:00,51.6862869262695,0
82,2019-06-30 21:15:00,51.9179496765137,0
83,2019-06-30 21:30:00,51.7635078430176,0
84,2019-06-30 21:45:00,51.6862869262695,0
85,2019-06-30 22:00:00,51.7635078430176,0
86,2019-06-30 22:15:00,51.5318450927734,0
87,2019-06-30 22:30:00,51.9951705932617,0
88,2019-06-30 22:45:00,52.2268333435059,0
89,2019-06-30 23:00:00,51.9951705932617,0
90,2019-06-30 23:15:00,51.6862869262695,0
91,2019-06-30 23:30:00,51.5318450927734,0
92,2019-06-30 23:45:00,51.5318450927734,0
93,2019-07-01 00:00:00,52.0723915100098,0
94,2019-07-01 00:15:00,51.9179496765137,0
95,2019-07-01 00:30:00,51.6862869262695,0
